Year,Status,Life_expectancy,Adult_Mortality,GDP,Income_composition_of_resources
2015,0,77.8,74,3954.22783,0.762
2014,0,77.5,8,4575.763787,0.761
2013,0,77.2,84,4414.72314,0.759
2012,0,76.9,86,4247.61438,0.752
2011,0,76.6,88,4437.17868,0.738
2010,0,76.2,91,494.358832,0.725
2009,0,76.1,91,4114.136545,0.721
2008,0,75.3,1,437.539647,0.713
2007,0,75.9,9,363.13685,0.703
2006,0,74.2,99,35.1293,0.696
2005,0,73.5,15,279.142931,0.685
2004,0,73,17,2416.588235,0.681
2003,0,72.8,18,189.681557,0.674
2002,0,73.3,15,1453.642777,0.67
2001,0,73.6,14,1326.97339,0.662
2000,0,74.4,123,3868.83123,0.705
2015,0,74.1,126,495.254866,0.697
2014,0,75.9,12,12969.7712,0.822
2013,0,75.6,126,8161.36966,0.794
2012,0,74.8,129,7193.61764,0.788
2011,0,75.2,127,5878.76127,0.782
2010,0,74.1,137,333.4376,0.77
2009,0,74.1,138,2579.193168,0.776
2008,0,74.6,12,3994.712355,0.739
2007,0,74.4,123,3843.591213,0.736
2006,0,74.4,121,3684.8481,0.732
2005,0,73.9,128,3526.978143,0.729
2004,0,73.5,132,3218.381655,0.72
2003,0,73.3,137,2993.832531,0.725
2002,0,73.2,14,41.26997,0.721
2001,0,72.9,141,2158.299,0.692
2000,0,72.7,134,93.1661567,0.657
2014,0,72.6,134,783.261699,0.645
2013,0,72.6,141,694.435119,0.644
2012,0,72,142,622.7427477,0.639
2011,1,81.3,66,4991.98289,0.918
2010,1,81,67,3416.71483,0.91
2009,1,86,69,3472.37977,0.908
2008,1,79.9,73,281.81763,0.902
2007,1,81.1,68,554.71532,0.887
2006,1,79.8,81,443.99361,0.854
2005,1,78.8,88,3212.9355,0.837
2004,0,72.5,119,7891.299776,0.752
2014,0,72.2,121,7875.756953,0.745
2013,0,71.9,123,7496.335728,0.742
2012,0,71.6,125,7189.691229,0.741
2011,0,78,132,495.294791,0.728
2010,0,73,141,5574.6382,0.719
2009,0,73,14,3851.437869,0.708
2008,0,72,199,8318.429294,0.796
2007,0,71.7,23,7978.825443,0.796
2014,0,71.9,194,694.243915,0.793
2013,0,72,232,6519.71753,0.787
2012,0,73,222,63.38877,0.78
2011,0,70,226,5176.172649,0.771
2010,0,70,224,6376.183153,0.755
2009,0,68.9,243,3848.215966,0.723
2008,0,68.1,252,3126.71767,0.713
2007,0,68.2,247,2378.33927,0.703
2006,0,67.2,262,1479.383142,0.687
2005,0,67.7,254,1244.373185,0.681
2004,1,87,77,4651.38647,0.889
2003,1,83,78,4474.5717,0.886
2002,1,83,8,4772.77415,0.884
2014,1,80,81,4438.23741,0.878
2013,1,79.8,85,4488.5615,0.876
2012,1,79.5,86,4443.83131,0.871
2011,1,78.3,95,3743.95693,0.878
2010,0,70,177,4852.223666,0.705
2009,0,69.8,18,4688.538443,0.706
2008,0,69.4,189,4673.63848,0.702
2007,0,69.4,188,4516.24675,0.7
2006,0,69.5,186,4344.15177,0.7
2005,0,69.5,184,4258.788611,0.7
2004,0,69.6,181,447.22796,0.699
2003,0,69.6,181,4324.876427,0.7
2002,0,69.4,184,4187.3783,0.692
2001,0,69,191,3933.332215,0.695
2000,0,68.7,197,3831.53819,0.691
2014,0,68.5,199,3556.561825,0.678
2013,0,68.2,21,3419.275719,0.677
2012,0,68.3,196,3364.423711,0.668
2011,0,77,9,535.86555,0.735
2010,0,76.8,92,4716.673325,0.728
2009,0,76.9,92,55.156834,0.711
2008,0,76,98,575.31664,0.71
2007,0,75.4,16,418.292176,0.703
2006,1,74.3,138,7853.335191,0.787
2005,1,74.1,14,7674.86559,0.781
2004,1,73.9,139,7378.25539,0.778
2003,1,73.7,144,7813.83499,0.775
2002,1,72.9,155,7296.122479,0.761
2001,1,72.6,157,5932.899677,0.755
2014,1,72.2,161,4513.13628,0.75
2013,1,72.1,16,3893.68998,0.745
2012,1,72.2,157,3381.57837,0.738
2011,1,72,155,271.46824,0.729
2010,1,71.8,157,287.534843,0.723
2009,1,71.6,16,1764.97387,0.713
2008,1,71.1,163,169.28586,0.709
2007,0,59.1,297,312.7489794,0.404
2006,0,58.6,33,282.7555252,0.398
2005,0,73,117,3529.61843,0.643
2004,0,72.8,12,3558.796314,0.643
2003,0,72.7,121,348.482762,0.636
2002,0,72.5,123,3312.825985,0.627
2001,0,72.4,124,3444.5566,0.621
2000,0,72.4,124,3638.95946,0.615
2014,0,72.3,126,3112.285712,0.602
2013,0,72.1,129,234.28992,0.596
2012,0,71.8,134,248.13459,0.582
2011,0,71.4,14,1976.45856,0.574
2010,0,71.1,144,1768.92132,0.572
2009,0,74.2,144,7227.73968,0.7
2008,0,73.6,15,625.65544,0.695
2007,0,73.5,146,5433.7245,0.683
2006,0,71.4,167,2472.197831,0.65
2005,0,63.2,23,852.954379,0.497
2004,0,62.9,233,834.341949,0.49
2003,0,62.5,237,788.632653,0.484
2002,0,62.2,241,829.7586885,0.479
2014,0,61.8,246,769.1742883,0.476
2013,0,61.3,251,778.5454199,0.465
2012,0,61,255,795.97519,0.461
2011,0,66,259,72.759313,0.459
2010,0,63,262,648.38717,0.451
2009,0,79.5,96,1647.44179,0.768
2008,0,79.4,96,1569.66631,0.762
2007,0,78.9,93,612.623418,0.734
2006,0,78,16,5245.187372,0.727
2005,0,78,1,4167.71417,0.715
2004,0,78.3,99,462.14965,0.712
2003,1,77.8,97,13467.46827,0.82
2014,1,77.1,14,13235.97757,0.815
2013,1,76.6,16,1355.74586,0.803
2012,1,83,53,2734.88382,0.85
2011,1,81,54,2797.96736,0.85
2010,1,79.5,59,3818.46396,0.853
2009,1,79.3,6,3215.8159,0.849
2008,1,79.1,62,3539.7488,0.844
2007,1,78.5,66,2293.4789,0.815
2006,1,78.2,69,1562.92433,0.8
2005,0,72.1,174,5968.876767,0.706
2004,0,72.7,166,5451.6696,0.697
2003,0,76,121,6432.216537,0.737
2002,0,76,121,674.9829,0.725
2001,0,75.5,127,572.14313,0.717
2000,0,75.3,131,5223.351763,0.71
2014,0,75.1,137,4255.56571,0.702
2013,0,74.6,139,4274.95265,0.698
2012,0,74.7,14,359.71886,0.696
2011,0,74.4,144,335.786541,0.693
2010,0,74.2,151,321.942547,0.688
2009,0,74.4,151,244.46898,0.679
2008,0,73.6,157,2183.966796,0.675
2007,0,72.8,163,1451.29776,0.668
2006,0,73.3,181,3988.771871,0.676
2005,0,73,184,3895.664491,0.675
2004,0,73,181,3827.786267,0.67
2003,0,72,191,3474.392445,0.662
2002,0,71.4,23,3366.482133,0.662
2001,0,71.7,194,357.347674,0.659
2000,0,71.2,23,334.83817,0.657
2014,0,75,211,362.951768,0.651
2013,0,71,213,2835.281237,0.644
2012,0,69.9,29,2519.737387,0.628
2011,0,73,24,248.4125,0.621
2010,0,68.9,219,2338.772244,0.615
2009,0,69,218,2238.4116,0.607
2008,0,76.9,127,1929.7746,0.856
2007,0,74.2,167,1894.5485,0.835
2006,0,73,188,12595.4165,0.822
2005,0,72.8,189,1338.31322,0.812
2004,0,69.7,19,546.3728,0.727
2003,0,69.6,192,4763.68956,0.719
2002,0,69.4,195,4546.73854,0.714
2001,0,69.2,197,4353.121392,0.709
2000,0,69.1,2,3651.966784,0.706
2014,0,68.9,23,3369.48247,0.704
2013,0,68.7,26,4177.657789,0.7
2012,0,68.6,29,478.82327,0.698
2011,0,68.5,211,3749.939813,0.695
2010,0,68.3,214,3658.63832,0.699
2009,0,68.1,218,3332.918533,0.691
2008,0,68,22,2835.973972,0.689
2007,0,67.9,22,2259.55796,0.687
2006,0,67.8,221,238.891729,0.683
2005,0,81.5,83,4838.2444,0.885
2004,0,89,89,416.58397,0.873
2003,0,74.2,13,4142.869175,0.749
2002,0,73.9,127,3725.63221,0.742
2014,0,73.8,132,2964.47734,0.738
2013,0,73.2,133,276.588512,0.734
2012,0,74.4,12,2492.12878,0.722
2011,0,73.9,126,1872.68416,0.714
2010,0,72.7,132,928.18227,0.684
2009,0,71.7,142,779.3845935,0.677
2008,0,73,121,733.974142,0.673
2007,1,89,69,4792.65288,0.92
2006,1,86,71,4465.24891,0.916
2005,0,80,78,2971.973,0.857
2004,0,79.7,77,2481.15781,0.85
2003,0,79,81,1411.31339,0.811
2002,0,78.2,84,1242.95373,0.794
2001,0,71.4,189,3452.828934,0.611
2000,0,71.3,189,3299.65139,0.616
2014,0,71.1,193,3187.845296,0.609
2013,0,77,196,2825.5247,0.602
2012,0,76,198,2635.753474,0.596
2011,0,79,19,2794.22189,0.589
2010,0,75,192,2489.955836,0.578
2009,0,69.2,28,277.83438,0.567
2008,0,66,217,43.82321,0.636
2007,0,65.9,218,3944.178173,0.633
2006,0,65.8,22,3785.935665,0.63
2005,0,65.6,229,3439.597513,0.624
2004,0,65.9,221,326.281212,0.618
2014,0,66.1,218,2716.35256,0.618
2013,0,66.3,218,2576.124957,0.618
2012,0,65.2,24,1945.6395,0.622
2011,0,62.7,253,81.265673,0.483
2010,0,74.5,149,2242.711912,0.618
2009,0,74.3,15,2136.77395,0.614
2008,0,74.1,151,2178.38325,0.614
2007,0,73.9,153,212.584798,0.611
2006,0,73.6,156,1932.85829,0.606
2005,0,73.4,157,1815.489496,0.603
2004,0,73.2,159,1751.595857,0.597
2003,0,73,16,1592.572182,0.59
2002,0,72.8,161,1437.628785,0.583
2001,0,72.5,163,1311.741714,0.577
2000,0,76,145,452.74948,0.646
2014,1,81.2,66,5553.32623,0.91
2013,1,81,67,5234.76736,0.902
2012,0,81.7,61,3661.994,0.878
2011,0,84,68,258.637,0.872
2010,0,84,68,2195.1769,0.87
2009,0,80,71,2611.17931,0.866
2008,0,79.3,74,236.19646,0.85
2007,0,78.9,76,2152.1432,0.845
2006,1,82.3,58,3537.27441,0.876
2005,1,79.8,75,24.819,0.828
2004,0,75.8,133,4855.743789,0.727
2003,0,75.6,136,56.144952,0.727
2002,0,75.3,138,521.33363,0.725
2001,0,75.2,139,513.549487,0.722
2000,0,75,138,4682.728424,0.721
2014,0,74.5,145,492.492378,0.718
2013,0,74.2,148,462.517913,0.714
2012,0,74,113,466.94775,0.737
2011,0,73.9,114,3992.86717,0.737
2010,0,73.7,115,387.753211,0.735
2009,0,73.6,116,387.324145,0.737
2008,0,73.4,117,3679.19275,0.739
2007,0,73.3,118,3492.1396,0.742
2006,0,73.1,119,3385.69665,0.739
2005,0,73,12,2762.86354,0.736
2004,0,72.8,121,2537.349,0.733
2003,0,72.4,127,223.83787,0.73
2002,0,72.5,125,261.456882,0.723
2001,0,72.3,127,1889.213962,0.717
2000,0,72.1,129,1812.288374,0.712
2014,0,71.9,131,1728.2659,0.706
2013,0,71.7,133,1657.889256,0.7
2012,0,69.5,28,1389.8561,0.782
2011,0,68.5,224,11634.42422,0.766
2010,0,67.8,235,7165.2775,0.758
2009,0,66.6,258,8513.564645,0.758
2008,0,65.3,288,6771.414797,0.754
2007,0,65,295,5291.57565,0.747
2006,0,64.4,282,268.123657,0.714
2014,0,64.7,276,1658.31146,0.7
2013,0,64.4,284,149.926751,0.685
2012,0,63.9,292,1229.958,0.676
2011,0,66.1,2,1684.54274,0.597
2010,0,65.8,22,1724.361737,0.589
2009,0,65.7,24,1763.815497,0.581
2008,0,65.5,26,1692.613277,0.585
2007,0,65.3,27,1493.1651,0.584
2006,0,65.2,28,1297.285141,0.576
2005,0,65.1,21,1413.3234,0.572
2004,0,65,211,1357.632211,0.574
2014,0,65,212,1151.555618,0.576
2013,1,74.1,161,1532.22924,0.814
2012,1,73.6,169,1372.68947,0.81
2011,1,72.8,18,11326.21947,0.815
2010,1,72.6,184,12219.37379,0.821
2009,1,78,221,1444.1589,0.814
2008,1,75,229,9667.9757,0.807
2007,1,76,216,7558.7426,0.791
2006,1,71,26,6351.8125,0.776
2005,1,78,29,5134.95694,0.761
2004,1,73,219,4132.34927,0.746
2003,1,69.9,228,3572.8513,0.728
2002,1,71,218,3352.731296,0.716
2014,0,74.8,99,8161.4614,0.763
2013,0,75,93,8787.94668,0.763
2012,0,75,93,8734.9653,0.758
2011,0,74.9,94,8763.826274,0.752
2010,0,74.7,95,84.268878,0.746
2009,0,74.5,98,712.775759,0.74
2008,0,61.1,258,454.1222236,0.419
2007,1,73,176,14341.836,0.83
2006,1,72.4,188,11984.86857,0.824
2014,1,72.2,192,11837.3913,0.825
2013,1,72,24,12297.91535,0.812
2012,1,76,229,924.642548,0.807
2011,1,78,222,7863.1629,0.798
2010,1,71.6,22,555.535669,0.78
2009,1,71.4,22,4146.987928,0.77
2008,1,71.2,21,353.147337,0.757
2007,1,71.6,2,3297.35471,0.745
2006,1,79.7,82,1618.4928,0.877
2005,1,78.8,9,8289.69641,0.874
2014,1,78.3,95,5293.64115,0.86
2013,0,65.1,225,452.4631926,0.509
2012,0,74.8,126,11183.96191,0.783
2011,0,74.6,128,1882.27842,0.779
2010,0,74,131,7326.744435,0.756
2009,0,73.8,132,8513.629541,0.747
2008,0,73.1,138,4463.675893,0.724
2007,1,81.1,57,2393.1888,0.828
2006,1,81,58,2193.8836,0.821
2005,1,83,62,2187.79469,0.819
2004,1,82,63,2675.58259,0.815
2003,1,78.7,69,1519.5497,0.797
2014,1,78.5,71,13689.98999,0.79
2013,0,63,26,1326.66882,0.509
2012,0,74.2,148,1153.93822,0.769
2011,0,74.1,147,9637.265,0.765
2010,0,73.9,154,9291.227619,0.756
2009,0,73.6,158,9197.26972,0.748
2014,0,73.3,163,8.376432,0.74
2013,0,72.8,166,7318.12641,0.734
2012,0,72.7,166,83.635,0.728
2011,0,72.9,161,6574.654338,0.72
2010,0,71.8,165,5695.969327,0.713
2009,0,72.1,168,5116.45424,0.704
2008,0,71.9,168,5229.876738,0.696
2014,0,71.5,179,3957.51296,0.683
2013,0,71.5,177,3792.182152,0.673
2012,0,71,177,3861.32414,0.667
2011,0,76.6,122,1452.27766,0.754
2010,0,76.3,123,982.532572,0.748
2009,0,76.1,124,9834.472689,0.745
2008,0,75.7,13,7748.12331,0.738
2007,0,75.6,127,9689.52887,0.735
2006,0,68.4,225,4181.583321,0.729
2014,0,68.1,227,4385.379355,0.72
2013,0,67.8,231,4368.82248,0.712
2012,0,67.3,235,3769.595255,0.701
2011,0,66.3,25,265.353659,0.693
2010,0,66.9,235,1717.898761,0.686
2009,0,67.4,225,2139.625631,0.673
2008,0,65.9,26,1634.81431,0.661
2007,0,65,271,1334.651896,0.649
2006,0,64.5,274,998.8226671,0.637
2005,0,64,284,797.8377432,0.621
2004,0,64,271,646.561295,0.609
2003,0,75.9,17,7378.345289,0.803
2002,0,75.4,113,7318.742449,0.792
2001,0,75,117,6698.79439,0.785
2000,0,74.6,121,7325.73474,0.774
2014,0,74.1,96,3154.513484,0.64
2013,0,72.8,11,2834.2472,0.603
2012,0,77,137,213.755559,0.569
2011,0,74.5,148,1975.46477,0.636
2010,0,73.9,157,1847.19849,0.63
2009,0,73.9,157,1792.3845,0.625
2008,0,74.5,147,1682.957924,0.62
2007,0,73.2,154,1526.497938,0.614
2006,0,73.2,163,1464.497754,0.613
2005,0,72.5,169,1518.85386,0.607
2004,0,72.5,173,1344.31871,0.601
2003,0,73,17,124.992617,0.597
2002,0,71.2,194,1175.116225,0.592
2001,0,76,198,115.565314,0.583
2000,0,75,197,11.147277,0.577
2014,0,73,193,143.6758,0.57
2013,0,73,192,116.2743,0.562
2012,0,77.2,12,1589.82713,0.765
2011,0,77.3,121,927.723171,0.758
2010,0,76.5,122,7937.259931,0.756
2009,0,76.8,127,7429.628274,0.755
2008,0,76.5,127,6973.9284,0.75
2007,0,76.4,124,668.8667,0.743
2006,0,76.2,125,5348.518399,0.744
2005,0,75.8,122,4916.54886,0.74
2004,0,75.8,123,4591.892776,0.733
2003,0,75.5,126,4267.13578,0.728
2014,0,75.7,125,4126.14671,0.725
2013,0,75.5,124,446.372833,0.721
2012,0,62.2,284,271.318741,0.501
2011,0,62,285,177.867119,0.494
2010,0,61.8,286,1366.879112,0.485
2009,0,61.6,288,1166.66337,0.477
2008,0,73.9,147,4712.822736,0.688
2007,0,73.6,148,3855.537735,0.679
2006,0,73.4,15,3988.11894,0.675
2005,0,73.2,152,3225.591754,0.664
2004,0,73,155,2599.596259,0.663
2003,0,72.7,157,359.992184,0.654
2002,0,72.5,159,2312.192926,0.649
2001,0,72.3,161,189.71539,0.648
2000,0,72.1,163,157.145691,0.646
2014,0,71.7,166,1174.779347,0.642
2013,0,75.3,125,6491.5245,0.735
2012,0,75.3,125,6583.116248,0.731
2011,0,74.9,129,6387.785281,0.725
2010,0,73.8,14,4166.93387,0.706
2009,0,73.9,138,428.87811,0.7
2008,0,72.8,148,2754.7829,0.692
2007,1,77.3,12,14341.675,0.85
2014,1,77.1,12,1378.54911,0.838
2013,1,76.8,125,13145.1484,0.834
2012,1,76.7,128,13893.18768,0.829
2011,1,76.3,13,12599.52486,0.822
2010,1,75.7,136,11527.59323,0.818
2009,1,75.3,144,1126.31852,0.808
2008,1,74.7,142,5693.52416,0.796
2007,1,74.5,145,5196.932921,0.79
2006,1,74.2,149,4981.198619,0.784
2005,1,89,78,2277.53613,0.837
2004,1,83,81,2577.4264,0.824
2003,1,79.3,9,2363.97161,0.809
2002,1,78.7,94,2278.5845,0.797
2001,1,78,99,1845.5881,0.792
2000,1,76.6,11,1152.39681,0.777
2014,1,74.8,135,12.27733,0.797
2013,1,73.4,153,8297.483621,0.797
2012,1,73.1,158,822.18329,0.795
2011,1,73.1,159,1136.47356,0.78
2010,1,72.9,154,8214.185378,0.766
2009,1,77,178,2124.873613,0.714
2008,1,78,179,1839.72945,0.708
2007,0,69.4,242,14212.687,0.785
2014,0,67.5,278,11635.2637,0.769
2013,0,67.3,282,911.25385,0.761
2012,0,64.8,313,2375.5944,0.727
2011,0,65.7,23,76.5699517,0.488
2010,0,65.2,233,688.8768557,0.485
2009,0,64.6,239,678.796973,0.475
2008,0,79,169,197.29417,0.659
2007,0,76,174,1631.41727,0.653
2006,0,75,175,1555.47451,0.645
2005,0,72,18,154.68923,0.64
2004,0,67.3,191,1821.878734,0.562
2003,0,67.1,192,1619.532678,0.559
2002,0,66.9,194,138.949959,0.553
2001,0,66.6,198,134.326189,0.546
2000,0,66.2,24,1129.754961,0.542
2014,0,65.8,21,199.57146,0.533
2013,0,65.4,215,1126.46212,0.531
2012,0,66.4,192,152.443873,0.483
2011,0,64.9,26,18.25321,0.455
2010,0,64.3,212,11.631377,0.449
2009,0,62.8,225,11.33678,0.435
2008,0,62.1,23,95.3978522,0.425
2007,0,75.4,123,62.173221,0.771
2006,0,75.3,122,6353.826383,0.766
2005,0,74.9,126,5659.3824,0.767
2004,0,74.6,127,6423.291783,0.757
2003,0,74.4,128,5411.87744,0.755
2002,0,74.1,131,5821.35397,0.754
2001,0,74,132,671.773913,0.749
2000,0,73.8,132,5458.121718,0.743
2014,0,73.6,133,4129.758741,0.739
2013,0,73,135,3528.1318,0.73
2012,0,73,134,3331.228766,0.72
2011,0,73,17,1557.77892,0.766
2010,0,72.7,174,12845.17363,0.755
2009,0,72.6,177,12189.9516,0.744
2008,0,72.4,18,184.68447,0.74
2007,0,72.3,182,976.9566,0.739
2006,0,72.2,184,11122.8627,0.739
2005,0,72.2,185,12154.82994,0.733
2004,0,72.2,185,1214.39987,0.728
2003,0,72.2,185,1192.5174,0.712
2002,0,72.1,186,1176.65871,0.715
2001,0,72.1,185,8524.961236,0.713
2000,0,72.1,186,8331.261997,0.712
2014,0,72,187,7663.1378,0.714
2011,0,54,47,71.8186998,0.413
2010,0,68.8,183,29.652622,0.512
2009,0,68.8,182,188.5159,0.509
2008,0,68.7,184,1858.689868,0.505
2007,0,68.5,186,1642.837974,0.497
2006,0,68.1,192,1158.282672,0.494
2005,0,68,193,125.79167,0.489
2004,0,67.6,2,948.6592511,0.47
2003,0,66.8,215,744.7657423,0.453
2002,0,66.5,22,784.9562874,0.446
2014,0,66.2,227,944.81684,0.442
2013,0,65.8,235,154.518572,0.455
2012,1,82.6,58,296.47225,0.877
2011,1,82.4,6,2921.9342,0.874
2010,1,89,72,3279.414,0.849
2009,0,71.4,178,9564.46383,0.722
2008,0,71.2,179,9484.56898,0.719
2007,0,71.3,178,9272.413453,0.708
2006,0,76,187,8318.97692,0.704
2005,0,73,19,833.31332,0.7
2004,0,70,196,7443.85178,0.696
2014,0,69.5,22,5761.39536,0.684
2013,0,69.3,199,527.92,0.678
2012,0,68.9,25,3595.8855,0.672
2011,1,82.3,54,5918.19898,0.906
2010,1,81.9,57,6283.24522,0.904
2009,0,73.2,131,148.852738,0.61
2008,0,72.6,136,1177.629268,0.588
2007,0,69.6,162,114.45919,0.622
2014,0,69.3,163,14.214412,0.617
2013,0,68.8,164,954.725253,0.613
2012,0,68.1,166,834.5412953,0.608
2011,0,67.3,171,738.3475227,0.603
2010,0,66.7,174,666.3458569,0.601
2009,0,66.4,178,76.914128,0.592
2008,0,66.1,181,52.35956,0.586
2007,0,65.9,183,44.2872665,0.579
2006,0,65.5,194,337.359236,0.572
2005,0,65.9,177,39.281834,0.563
2004,0,59.7,285,62.1318489,0.475
2003,0,73.2,137,4266.557174,0.718
2002,0,73,138,451.542462,0.717
2001,0,72.9,14,445.18866,0.712
2000,0,72.8,142,3547.59975,0.707
2014,0,72.5,147,37.846563,0.703
2013,0,72.6,145,3392.64743,0.698
2012,0,72.5,146,2932.315883,0.698
2011,0,72.4,148,2892.522663,0.695
2010,0,71.9,155,1842.44421,0.679
2009,0,71.8,157,1837.977391,0.674
2008,0,71.6,158,263.27236,0.676
2007,0,71,172,1967.83283,0.773
2006,0,69.6,188,1495.96337,0.751
2005,0,69.5,189,12323.1275,0.745
2004,0,69.4,19,129.51914,0.736
2003,0,69.3,191,884.518666,0.729
2002,0,75.1,12,4271.68172,0.722
2001,0,74.9,13,4199.47253,0.72
2000,0,74.9,13,4137.55421,0.717
2014,0,74.8,13,4256.91279,0.714
2013,0,74.8,12,414.15177,0.71
2012,0,74.7,12,4129.977335,0.706
2011,0,74.7,12,431.9326,0.701
2010,0,74.6,12,3778.184171,0.695
2009,0,74.4,12,3371.71231,0.689
2008,0,74.2,14,3194.562243,0.683
2007,0,74,15,3112.83529,0.673
2006,0,73.7,17,2761.969249,0.667
2005,0,73.5,19,2346.5937,0.662
2014,0,73.2,11,2254.933126,0.654
2013,0,72.9,112,2213.91488,0.646
2012,0,75.5,17,12127.22522,0.759
2011,0,74.5,114,11341.13395,0.737
2010,0,73.5,121,185.68975,0.705
2009,0,66,217,7962.365824,0.683
2008,0,65.4,228,734.42525,0.678
2007,0,65.6,22,6675.262954,0.672
2006,0,65.6,217,5649.978486,0.665
2005,0,71,198,429.71554,0.744
2004,0,69.2,231,2545.48341,0.734
2003,0,67.4,267,1367.352433,0.7
2002,0,67.6,256,148.522488,0.691
2001,0,76.5,118,1592.6819,0.784
2000,0,77,111,14166.4998,0.78
2014,0,76.6,118,9415.17386,0.774
2013,0,76.4,119,962.312164,0.77
2012,0,75.4,124,79.69746,0.76
2011,0,76.2,117,5877.87678,0.756
2010,0,75.7,123,522.951116,0.753
2009,0,75.4,122,4117.38853,0.75
2008,0,75.4,121,3622.52284,0.747
2007,0,75.4,124,488.768855,0.746
2006,0,75.2,123,6281.37747,0.742
2005,0,69.2,184,25.448414,0.69
2004,0,69.1,185,197.551233,0.681
2003,0,68.8,184,174.468298,0.673
2002,0,68.5,183,1564.966945,0.664
2001,0,68.3,183,1377.8214,0.657
2000,0,68,183,1213.265328,0.651
2014,0,67.9,184,182.28625,0.644
2013,0,67.8,183,465.1198869,0.613
2012,0,67.2,183,396.129969,0.607
2011,0,67.1,186,383.3494997,0.6
2010,0,78,149,2643.441423,0.589
2009,0,75,153,2697.961375,0.582
2008,0,71,161,247.97823,0.572